,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
211,Research Scientist,2.0,Software Engineer,1.33,Attorney,12.0,Attorney,3.0,Vice President,2.08,Vice President,1.17,Founder/Owner,9.0,Officer,1.08,Founder/Owner,6.67,Founder/Owner,1.0
212,*Outlier*,3.17,Director/Manager,3.17,Director/Manager,6.0,Sales,3.42,Vice President,3.17,Consultant/Advisor,8.0,Director/Manager,1.5,Sales,5.67,,,,
213,Tech Director,10.0,Tech Director,3.0,Founder/Owner,6.0,CEO,5.0,,,,,,,,,,,,
214,Associate,1.92,Associate,7.25,Vice President,1.92,Director/Manager,12.17,Director/Manager,1.0,,,,,,,,,,
215,Software Engineer,6.42,Technical Staff,9.67,Web Developer,4.0,Software Engineer,9.83,Software Engineer,4.0,,,,,,,,,,
216,Software Engineer,12.0,Analyst,1.5,Analyst,1.75,Marketing,1.25,Sales,2.67,President,1.67,Director/Manager,11.0,Vice President,8.08,Director/Manager,8.75,,
217,Professor,6.08,Professor,2.0,Founder/Owner,2.92,Professor,5.0,Professor,6.75,,,,,,,,,,
218,Software Engineer,3.0,Software Engineer,4.0,Consultant/Advisor,4.0,Consultant/Advisor,8.0,Software Engineer,2.0,Software Engineer,6.0,,,,,,,,
219,Director/Manager,2.0,Director/Manager,16.75,,,,,,,,,,,,,,,,
220,Vice President,1.42,Tech Director,1.42,Founder/Owner,2.08,Vice President,13.25,Technical Staff,19.0,Project Manager,4.33,,,,,,,,
221,Director/Manager,7.33,Founder/Owner,4.08,President,1.0,Founder/Owner,18.17,Fellow,4.75,Founder/Owner,20.0,Partner,2.67,Director/Manager,11.25,,,,
222,Software Engineer,1.0,Analyst,2.0,Software Engineer,10.0,Software Engineer,4.42,Director/Manager,4.67,Software Engineer,4.33,Software Engineer,4.25,Director/Manager,2.42,Software Engineer,7.0,,
223,Software Engineer,2.67,Software Engineer,3.83,Technical Staff,1.42,Tech Director,4.83,Vice President,6.17,Director/Manager,3.5,Director/Manager,3.17,Director/Manager,1.42,Director/Manager,5.0,,
224,Software Engineer,1.25,Software Engineer,15.5,Software Engineer,11.17,,,,,,,,,,,,,,
225,Systems Administrator,2.0,Founder/Owner,6.75,Consultant/Advisor,3.0,Intern,2.0,Systems Administrator,1.92,Systems Administrator,5.0,Intern,2.0,Tech Director,2.0,Software Engineer,8.67,Software Engineer,1.0
226,CTO,7.0,Software Engineer,4.0,User Experience,1.0,User Experience,2.0,User Experience,2.0,User Experience,1.0,Consultant/Advisor,1.0,Tech Director,4.0,Consultant/Advisor,11.0,Vice President,5.75
227,Intern,9.0,Software Engineer,4.42,Research Scientist,4.83,Consultant/Advisor,6.0,Fellow,2.92,Director/Manager,3.42,Tech Director,1.42,Consultant/Advisor,3.75,Tech Director,2.17,,
228,Partner,11.0,,,,,,,,,,,,,,,,,,
229,Software Engineer,2.0,Software Engineer,1.0,Software Engineer,3.0,Director/Manager,2.17,Consultant/Advisor,1.92,Software Engineer,1.33,Software Engineer,6.92,Software Engineer,1.58,,,,
230,Software Engineer,4.0,Software Engineer,4.0,Software Engineer,3.0,Software Engineer,8.0,Software Engineer,4.0,Software Engineer,1.0,Software Engineer,1.0,Tech Director,2.0,,,,
231,Technical Staff,6.67,Analyst,2.0,Consultant/Advisor,1.5,Software Engineer,10.0,Consultant/Advisor,2.42,Software Engineer,1.58,Software Engineer,2.42,Consultant/Advisor,1.42,Software Engineer,1.83,Software Engineer,7.0
232,Research Scientist,4.67,Director/Manager,5.33,Medical-related,14.75,Medical-related,14.75,Medical-related,12.17,Medical-related,12.17,Medical-related,12.17,Professor,14.75,,,,
233,Data Science,1.08,Data Science,1.08,Data Science,1.08,Founder/Owner,8.25,,,,,,,,,,,,
234,Software Engineer,6.17,Software Engineer,18.75,,,,,,,,,,,,,,,,
235,Software Engineer,1.08,Software Engineer,2.5,Software Engineer,20.0,Software Engineer,18.0,,,,,,,,,,,,
236,Software Engineer Intern,3.0,Software Engineer,1.5,Software Engineer,3.33,Analyst,1.0,Consultant/Advisor,3.42,Software Engineer,4.17,Founder/Owner,13.67,Partner,9.25,,,,
237,Systems Administrator,6.42,CTO,5.92,Tech Director,12.08,Tech Director,6.17,,,,,,,,,,,,
238,Analyst,1.33,Consultant/Advisor,2.42,Software Engineer,8.0,Software Engineer,1.08,Software Engineer,6.5,Software Engineer,1.17,,,,,,,,
239,Tech Director,3.0,Software Engineer,1.92,Software Engineer,3.0,Tech Director,7.5,Vice President,6.75,,,,,,,,,,
240,Founder/Owner,4.17,Founder/Owner,6.67,Founder/Owner,6.0,,,,,,,,,,,,,,
241,Tech Director,8.08,Tech Director,8.08,Director/Manager,13.0,Software Engineer,12.42,,,,,,,,,,,,
242,Intern,3.0,Web Developer,1.0,Web Developer,3.0,Web Developer,11.0,Software Engineer,3.0,Director/Manager,3.0,Director/Manager,4.0,Director/Manager,1.42,,,,
243,Consultant/Advisor,4.0,Project Manager,6.67,Project Manager,1.5,Director/Manager,3.83,Director/Manager,4.33,Director/Manager,1.58,,,,,,,,
244,Software Engineer,5.42,Software Engineer,7.5,Software Engineer,5.92,Software Engineer,3.33,Software Engineer,1.5,Software Engineer,2.25,Software Engineer,4.0,,,,,,
245,Intern,3.0,Software Engineer,1.0,Tech Director,15.42,Software Engineer,15.5,Graduate Student,1.08,Research Scientist,6.58,,,,,,,,
246,Software Engineer,4.0,Software Engineer,1.0,Director/Manager,2.58,Teacher,1.0,Director/Manager,8.0,Analyst,1.17,Director/Manager,2.08,Director/Manager,1.75,Director/Manager,3.0,Vice President,5.0
247,Systems Administrator,2.0,Consultant/Advisor,9.17,Founder/Owner,9.17,Systems Administrator,11.67,,,,,,,,,,,,
248,Vice President,6.75,Consultant/Advisor,1.92,Vice President,1.08,Vice President,7.0,Vice President,1.83,CTO,3.92,,,,,,,,
249,Software Engineer,21.0,,,,,,,,,,,,,,,,,,
250,Systems Administrator,4.08,Technical Staff,4.08,Technical Staff,1.83,Director/Manager,2.83,Technical Staff,1.08,Tech Director,1.08,Tech Director,5.75,Tech Director,3.33,Tech Director,3.25,,
251,Director/Manager,24.5,CEO,24.5,,,,,,,,,,,,,,,,
252,Fellow,3.92,Fellow,6.0,Fellow,1.83,Professor,2.92,Professor,8.83,,,,,,,,,,
253,Software Engineer,6.67,Software Engineer,17.0,,,,,,,,,,,,,,,,
254,Software Engineer,3.0,Software Engineer,4.0,Software Engineer,7.0,Software Engineer,4.0,Software Engineer,2.0,Software Engineer,11.0,Software Engineer,2.0,Software Engineer,4.0,,,,
255,Fellow,2.08,Software Engineer,4.42,Software Engineer,10.5,,,,,,,,,,,,,,
256,Intern,4.0,Intern,11.0,Graduate Student,7.0,Technical Staff,3.0,Software Engineer,9.25,Technical Staff,3.42,,,,,,,,
257,Technical Staff,8.0,President,3.0,Technical Staff,4.75,Technical Staff,3.08,President,4.58,Technical Staff,2.92,,,,,,,,
258,Software Engineer,3.25,Software Engineer,2.17,Analyst,10.58,Vice President,3.5,,,,,,,,,,,,
259,Web Developer,3.0,Technical Staff,4.83,Software Engineer,5.67,,,,,,,,,,,,,,
260,Consultant/Advisor,11.0,Consultant/Advisor,2.83,Project Manager,2.42,Director/Manager,9.08,Vice President,3.5,Director/Manager,6.58,,,,,,,,
261,Tech Director,4.17,Analyst,3.08,Consultant/Advisor,1.42,Analyst,1.5,Consultant/Advisor,1.83,Analyst,4.5,Technical Staff,3.0,,,,,,
262,Software Engineer,1.33,Consultant/Advisor,5.0,Consultant/Advisor,5.0,Software Engineer,1.17,Software Engineer,8.0,Software Engineer,10.0,Consultant/Advisor,11.0,,,,,,
263,Tech Director,20.42,Software Engineer,5.5,,,,,,,,,,,,,,,,
264,Software Engineer,3.42,Founder/Owner,1.0,Software Engineer,5.08,Software Engineer,3.0,Founder/Owner,1.0,Software Engineer,3.67,Software Engineer,7.0,Software Engineer Intern,6.0,Consultant/Advisor,1.5,Director/Manager,4.17
265,Technical Staff,4.0,Software Engineer,2.58,Software Engineer,1.08,Software Engineer,11.42,Software Engineer,2.0,Software Engineer,2.5,Software Engineer,1.0,Founder/Owner,22.0,Software Engineer,3.75,,
266,Intern,2.0,Intern,3.0,Fellow,11.0,Founder/Owner,10.0,Intern,1.42,Data Science,1.58,Director/Manager,3.67,Teacher,5.17,,,,
267,Software Engineer,3.0,Software Engineer,16.5,,,,,,,,,,,,,,,,
268,Director/Manager,2.08,Founder/Owner,2.08,Founder/Owner,7.67,Research Scientist,10.08,CTO,1.67,,,,,,,,,,
269,Software Engineer,4.0,Research Scientist,2.0,Research Scientist,3.0,Research Scientist,1.0,Software Engineer,9.33,Vice President,8.25,CTO,4.08,,,,,,
270,Software Engineer,2.0,Software Engineer,2.17,Software Engineer,8.0,Software Engineer,5.42,Software Engineer,5.42,Technical Staff,9.92,,,,,,,,
271,Software Engineer,4.0,Software Engineer,7.25,Software Engineer,1.83,Founder/Owner,4.08,Software Engineer,6.5,,,,,,,,,,
272,Software Engineer,5.25,Software Engineer,2.5,Software Engineer,11.33,,,,,,,,,,,,,,
273,Software Engineer,2.0,Software Engineer,2.0,President,3.0,Analyst,1.0,Analyst,1.0,Analyst,2.0,Analyst,1.67,Vice President,7.33,,,,
274,Software Engineer,2.83,Tech Director,3.5,Consultant/Advisor,9.0,Founder/Owner,11.0,Software Engineer,1.42,Software Engineer,1.83,Software Engineer,3.33,Vice President,3.08,Software Engineer,3.92,Vice President,4.0
275,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Tech Director,10.5,Tech Director,1.58,Fellow,2.92,Tech Director,6.0,Tech Director,1.33,Consultant/Advisor,4.58,Founder/Owner,3.33,Founder/Owner,3.0
276,Intern,11.0,Consultant/Advisor,2.0,Consultant/Advisor,2.0,Research Scientist,6.33,Teacher,2.5,Research Scientist,3.58,Software Engineer,3.75,Director/Manager,3.0,,,,
277,Vice President,3.0,Analyst,1.0,Vice President,1.58,Vice President,12.58,,,,,,,,,,,,
278,Software Engineer,2.17,Software Engineer,4.42,Software Engineer,2.92,User Experience,10.0,Tech Director,5.0,Software Engineer,4.83,Software Engineer,1.92,Software Engineer,1.08,Tech Director,3.25,Tech Director,1.25
279,Software Engineer,2.83,Software Engineer,1.0,Tech Director,5.0,Software Engineer,1.83,Software Engineer,1.75,Software Engineer,2.08,Software Engineer,2.33,,,,,,
280,Intern,1.08,Software Engineer,7.58,Sales,2.83,Sales,2.0,Medical-related,3.33,Medical-related,1.08,Sales,1.0,Teacher,2.0,Teacher,10.0,Teacher,6.58
281,Software Engineer,13.0,Tech Director,3.42,Software Engineer,6.92,,,,,,,,,,,,,,
282,Founder/Owner,4.5,Founder/Owner,9.5,Technical Staff,2.42,Investor,7.17,Investor,8.25,Investor,7.42,CTO,6.67,,,,,,
283,Software Engineer,1.67,Software Engineer,12.0,Project Manager,2.58,Partner,6.75,Director/Manager,3.33,Vice President,5.67,CTO,2.0,Consultant/Advisor,1.25,,,,
284,Software Engineer,9.25,Analyst,1.17,Software Engineer,12.5,,,,,,,,,,,,,,
285,Teacher,19.0,,,,,,,,,,,,,,,,,,
286,Software Engineer,1.5,Founder/Owner,11.0,Vice President,10.0,Technical Staff,2.17,Founder/Owner,7.67,Software Engineer,7.0,Consultant/Advisor,4.08,Software Engineer,1.33,Software Engineer,1.5,Consultant/Advisor,3.0
287,Software Engineer,11.0,Associate,2.75,Analyst,1.42,Director/Manager,1.08,Vice President,1.17,Founder/Owner,3.08,*Outlier*,3.08,Project Manager,1.42,Investor,7.17,CEO,6.67
288,Software Engineer,2.0,*Outlier*,1.0,Software Engineer,22.0,Software Engineer,15.0,,,,,,,,,,,,
289,Teacher,3.0,Web Developer,2.0,Teacher,3.0,Web Developer,3.0,Software Engineer,1.33,Web Developer,1.33,Software Engineer,10.67,,,,,,
290,Technical Staff,5.0,Consultant/Advisor,2.08,Software Engineer Intern,1.0,Technical Staff,9.0,Consultant/Advisor,10.42,Vice President,1.92,*Outlier*,29.25,*Outlier*,6.0,Founder/Owner,9.0,,
291,Research Scientist,4.0,Professor,6.08,Research Scientist,16.0,Consultant/Advisor,6.0,President,5.0,Professor,11.67,,,,,,,,
292,Software Engineer,2.75,Software Engineer,9.0,Software Engineer,2.0,Project Manager,1.17,Tech Director,1.58,Project Manager,2.33,CEO,2.25,Founder/Owner,6.0,Fellow,5.0,,
293,Consultant/Advisor,3.0,Consultant/Advisor,1.0,Consultant/Advisor,1.0,Intern,4.0,Associate,11.0,Board Member,3.67,Founder/Owner,11.0,,,,,,
294,Systems Administrator,2.33,Software Engineer,4.67,Director/Manager,2.08,Software Engineer,3.33,Software Engineer,3.67,Director/Manager,3.0,Director/Manager,4.0,Director/Manager,10.0,,,,
295,Software Engineer,3.58,Software Engineer,5.25,Software Engineer,9.67,Software Engineer,6.58,,,,,,,,,,,,
296,Software Engineer,1.08,Software Engineer,11.83,Software Engineer,10.08,,,,,,,,,,,,,,
297,Intern,4.0,Analyst,1.0,Analyst,1.0,Software Engineer,4.0,Software Engineer,2.42,Technical Staff,1.17,Project Manager,2.0,User Experience,2.75,User Experience,3.42,User Experience,2.0
298,Software Engineer,2.5,Analyst,5.0,Technical Staff,3.0,Software Engineer,3.75,Software Engineer,10.0,Software Engineer,9.0,Software Engineer,2.67,CTO,2.75,Software Engineer,11.0,Software Engineer,1.75
299,Software Engineer Intern,1.0,Software Engineer,1.5,Research Scientist,4.58,Research Scientist,3.0,Research Scientist,6.25,,,,,,,,,,
300,CTO,5.5,Director/Manager,1.08,Director/Manager,3.83,Director/Manager,1.5,Partner,5.75,Technical Staff,7.83,Partner,6.25,Founder/Owner,3.25,*Outlier*,4.75,Founder/Owner,12.5
301,Tech Director,24.17,,,,,,,,,,,,,,,,,,
302,Software Engineer,21.83,,,,,,,,,,,,,,,,,,
303,Software Engineer,1.5,Software Engineer,7.0,Software Engineer,2.5,Software Engineer,11.0,Software Engineer,2.0,Software Engineer,12.0,,,,,,,,
304,Software Engineer,5.0,Software Engineer,3.0,Founder/Owner,4.0,Software Engineer,3.0,Software Engineer,4.0,Software Engineer,4.58,Consultant/Advisor,2.17,Tech Director,2.42,Director/Manager,4.83,CTO,4.0
305,Software Engineer,3.0,Software Engineer,5.0,Partner,5.08,Vice President,2.67,Vice President,2.92,Vice President,3.67,Vice President,5.0,Vice President,2.92,Vice President,1.75,,
306,Research Scientist,7.58,Data Science,1.08,Partner,1.17,Founder/Owner,4.0,Tech Director,3.75,,,,,,,,,,
307,Software Engineer,7.33,Software Engineer,14.5,,,,,,,,,,,,,,,,
308,Software Engineer,2.0,Software Engineer,3.42,Software Engineer,2.42,Software Engineer,2.42,Software Engineer,3.08,Software Engineer,3.08,,,,,,,,
309,Systems Administrator,8.0,Systems Administrator,14.0,,,,,,,,,,,,,,,,
310,Software Engineer,8.58,Software Engineer,8.0,Software Engineer,8.0,Software Engineer,6.58,Software Engineer,4.0,,,,,,,,,,
311,Software Engineer,2.17,Project Manager,3.33,Consultant/Advisor,3.08,Consultant/Advisor,1.58,Marketing,3.58,Director/Manager,1.25,Software Engineer,2.33,Tech Director,2.25,,,,
312,Tech Director,12.0,Tech Director,2.0,Vice President,2.08,Vice President,2.67,Founder/Owner,11.0,CEO,8.25,Director/Manager,4.67,*Outlier*,2.33,,,,
313,Analyst,2.08,Analyst,2.17,Marketing,5.0,Director/Manager,3.67,Marketing,2.42,,,,,,,,,,
314,Software Engineer,11.0,Software Engineer,3.0,Software Engineer,18.0,,,,,,,,,,,,,,
315,Technical Staff,3.33,Software Engineer,3.08,Sales,3.75,Sales,1.67,Project Manager,7.0,Vice President,1.5,Technical Staff,2.0,Vice President,3.5,Founder/Owner,3.42,Partner,2.58
316,Systems Administrator,4.0,Software Engineer,3.08,Systems Administrator,5.0,Consultant/Advisor,7.0,Software Engineer,4.0,Director/Manager,13.08,CTO,5.92,,,,,,
317,Web Developer,3.0,Web Developer,8.0,*Outlier*,5.0,Project Manager,3.33,Project Manager,4.92,Project Manager,3.83,,,,,,,,
318,Software Engineer,1.0,Systems Administrator,1.0,Intern,1.0,Intern,2.83,Medical-related,2.25,,,,,,,,,,
319,Software Engineer,2.0,Software Engineer,2.5,Project Manager,3.0,Tech Director,2.0,Director/Manager,7.83,,,,,,,,,,
320,Software Engineer,3.83,Tech Director,6.08,Software Engineer,5.67,Software Engineer,5.83,Tech Director,1.17,,,,,,,,,,
321,Software Engineer,2.0,Research Scientist,2.0,Analyst,2.0,Director/Manager,4.0,Software Engineer,11.0,Software Engineer,5.83,Software Engineer,5.08,Software Engineer,7.0,,,,
322,Software Engineer,5.33,Software Engineer,2.58,Technical Staff,2.33,Software Engineer,3.58,Software Engineer,1.42,Software Engineer,5.58,Tech Director,4.83,Tech Director,1.08,Tech Director,11.0,,
323,Software Engineer,1.92,Software Engineer,3.42,Software Engineer,1.0,Software Engineer,7.83,Software Engineer,4.83,,,,,,,,,,
324,Systems Administrator,2.0,Software Engineer,1.0,Technical Staff,8.0,Vice President,2.0,*Outlier*,2.67,Teacher,2.42,President,9.0,Board Member,6.0,President,2.0,Vice President,7.0
325,Systems Administrator,3.75,Systems Administrator,8.0,Systems Administrator,2.08,*Outlier*,1.75,Systems Administrator,2.67,Systems Administrator,1.33,Systems Administrator,3.0,Tech Director,2.08,Software Engineer,1.92,Project Manager,2.17
326,Software Engineer,3.0,Software Engineer,2.83,Tech Director,5.08,Software Engineer,2.67,Software Engineer,1.33,Software Engineer,6.42,,,,,,,,
327,Professor,5.0,Software Engineer,9.75,,,,,,,,,,,,,,,,
328,Web Developer,2.0,Technical Staff,2.0,Consultant/Advisor,3.0,Project Manager,2.0,Project Manager,5.0,Project Manager,1.42,Project Manager,1.83,Project Manager,3.5,Vice President,3.75,,
329,Software Engineer,6.0,Software Engineer,3.25,Tech Director,1.5,Tech Director,2.25,Vice President,9.0,Vice President,1.0,Vice President,1.92,Software Engineer,6.0,,,,
330,Technical Staff,5.5,Attorney,1.08,Attorney,4.92,*Outlier*,1.08,Founder/Owner,6.75,Founder/Owner,4.17,,,,,,,,
331,Software Engineer,3.0,Vice President,18.0,Tech Director,2.5,,,,,,,,,,,,,,
332,Director/Manager,5.0,Intern,1.17,Software Engineer,2.0,Software Engineer,2.0,Software Engineer,3.25,Tech Director,7.42,Software Engineer,4.67,Software Engineer,8.0,,,,
333,Founder/Owner,2.0,Founder/Owner,2.08,Founder/Owner,6.0,,,,,,,,,,,,,,
334,Technical Staff,1.83,Consultant/Advisor,5.25,Web Developer,3.17,Technical Staff,4.08,Tech Director,5.75,,,,,,,,,,
335,Software Engineer,20.75,,,,,,,,,,,,,,,,,,
336,Technical Staff,3.0,Software Engineer,3.5,Software Engineer,17.5,,,,,,,,,,,,,,
337,Associate,9.33,Vice President,4.17,,,,,,,,,,,,,,,,
338,Software Engineer,3.0,Software Engineer,2.0,Software Engineer,2.67,,,,,,,,,,,,,,
339,Account Management,13.67,Analyst,1.25,Data Science,5.83,,,,,,,,,,,,,,
340,Software Engineer,5.67,Software Engineer,1.67,Software Engineer,6.67,Software Engineer,3.08,Technical Staff,2.08,Software Engineer,1.42,Tech Director,9.0,,,,,,
341,Software Engineer,7.0,Intern,1.0,Associate,9.17,Partner,2.5,Attorney,3.0,,,,,,,,,,
342,Consultant/Advisor,3.25,Vice President,7.25,Vice President,2.08,Software Engineer,4.83,Vice President,5.42,,,,,,,,,,
343,*Outlier*,1.0,*Outlier*,1.0,Web Developer,1.0,*Outlier*,11.0,Editor,16.0,Associate,7.0,Editor,11.0,Project Manager,7.0,,,,
344,Project Manager,7.0,Research Scientist,9.0,Director/Manager,1.0,Research Scientist,6.08,Fellow,10.0,Technical Staff,3.08,Research Scientist,2.08,Teacher,3.25,*Outlier*,3.67,Founder/Owner,4.0
345,Consultant/Advisor,2.83,Director/Manager,7.25,Director/Manager,1.33,Consultant/Advisor,10.0,Vice President,11.5,,,,,,,,,,
346,Software Engineer,1.67,Software Engineer,2.5,Software Engineer,6.42,Software Engineer,10.5,,,,,,,,,,,,
347,Software Engineer,1.0,Web Developer,1.33,Software Engineer,2.75,Software Engineer,7.67,Software Engineer,1.58,Tech Director,1.08,Tech Director,2.08,Tech Director,3.25,,,,
348,Software Engineer Intern,5.0,Software Engineer Intern,6.0,Analyst,6.42,Project Manager,11.33,Project Manager,1.33,,,,,,,,,,
349,Graduate Student,6.0,Software Engineer,4.0,Software Engineer,4.5,Research Scientist,2.25,CTO,2.17,,,,,,,,,,
350,Software Engineer,14.0,Software Engineer,7.0,Software Engineer,7.0,Software Engineer,1.83,Founder/Owner,15.25,Software Engineer,3.92,,,,,,,,
351,Software Engineer,2.83,Software Engineer,2.92,Software Engineer,2.92,Technical Staff,5.83,Software Engineer,10.0,CTO,1.83,Tech Director,2.5,,,,,,
352,Software Engineer,1.08,Consultant/Advisor,3.08,Consultant/Advisor,1.25,Consultant/Advisor,3.75,Director/Manager,11.5,,,,,,,,,,
353,Software Engineer,9.58,Software Engineer,2.42,Software Engineer,11.0,Tech Director,4.33,Software Engineer,4.33,Software Engineer,2.0,,,,,,,,
354,Software Engineer,10.0,Consultant/Advisor,9.0,Consultant/Advisor,1.25,Consultant/Advisor,6.17,Tech Director,5.5,Project Manager,2.42,Vice President,11.0,Vice President,2.17,,,,
355,Software Engineer,1.0,Founder/Owner,1.58,Software Engineer,2.0,Technical Staff,1.0,Software Engineer,1.42,Software Engineer,1.67,*Outlier*,1.33,CEO,5.92,,,,
356,Software Engineer,9.25,Software Engineer,1.0,Technical Staff,2.67,Software Engineer,5.0,,,,,,,,,,,,
357,Software Engineer,2.67,Software Engineer,6.08,Web Developer,1.5,,,,,,,,,,,,,,
358,Software Engineer Intern,11.0,Director/Manager,6.0,Software Engineer Intern,3.0,Software Engineer,1.25,Software Engineer,11.0,Founder/Owner,4.17,Software Engineer,10.0,Software Engineer,5.08,Software Engineer,1.58,,
359,Software Engineer,8.33,Software Engineer,4.0,Software Engineer,2.25,Software Engineer,6.0,,,,,,,,,,,,
360,Software Engineer,7.17,Founder/Owner,7.0,Founder/Owner,2.5,Founder/Owner,3.83,Board Member,4.25,Consultant/Advisor,7.0,CTO,1.25,Tech Director,1.08,Tech Director,1.25,,
361,Software Engineer Intern,7.0,Software Engineer,10.33,Software Engineer,5.33,Software Engineer,4.33,,,,,,,,,,,,
362,Research Scientist,4.17,Founder/Owner,7.33,Tech Director,1.17,Tech Director,1.08,Consultant/Advisor,5.75,Consultant/Advisor,1.92,Director/Manager,3.58,,,,,,
363,*Outlier*,1.33,Software Engineer,19.25,,,,,,,,,,,,,,,,
364,Systems Administrator,4.17,Tech Director,17.08,Software Engineer,3.75,Software Engineer,8.75,,,,,,,,,,,,
365,Director/Manager,5.42,Founder/Owner,4.0,Founder/Owner,14.92,,,,,,,,,,,,,,
366,Software Engineer,1.33,Director/Manager,3.33,Tech Director,1.5,Project Manager,3.5,Tech Director,5.17,Tech Director,2.17,,,,,,,,
367,Analyst,6.17,Analyst,2.17,Analyst,3.75,Software Engineer,1.58,Software Engineer,7.42,,,,,,,,,,
368,Consultant/Advisor,2.0,Associate,2.0,Associate,1.0,Vice President,5.0,Tech Director,6.0,Consultant/Advisor,1.0,,,,,,,,
369,Software Engineer,5.33,Project Manager,1.83,Director/Manager,1.42,Director/Manager,8.0,Director/Manager,5.0,Board Member,6.0,Teacher,10.0,Partner,4.83,,,,
370,Intern,2.0,Professor,9.58,,,,,,,,,,,,,,,,
371,Software Engineer,1.25,Director/Manager,12.33,Director/Manager,3.5,,,,,,,,,,,,,,
372,Director/Manager,2.0,*Outlier*,4.0,Officer,2.33,*Outlier*,1.08,Teacher,3.0,*Outlier*,4.0,Officer,9.58,,,,,,
373,Software Engineer,4.0,Graduate Student,8.0,Fellow,2.58,Research Scientist,1.83,Research Scientist,3.92,,,,,,,,,,
374,Software Engineer,1.0,Software Engineer,6.0,Vice President,6.0,Vice President,3.08,Vice President,3.33,Founder/Owner,4.08,Software Engineer,1.42,,,,,,
375,Intern,3.0,Attorney,4.83,*Outlier*,2.17,Attorney,1.0,Attorney,4.83,,,,,,,,,,
376,Consultant/Advisor,3.25,Analyst,11.58,Graduate Student,2.0,Director/Manager,10.83,Analyst,5.0,,,,,,,,,,
377,Software Engineer,2.0,Software Engineer,3.0,Medical-related,3.08,Medical-related,1.75,Tech Director,3.75,Vice President,1.42,Vice President,1.33,Project Manager,1.0,,,,
378,Graduate Student,4.0,Research Scientist,5.17,Professor,4.5,Professor,5.17,Professor,3.75,,,,,,,,,,
379,Software Engineer Intern,1.0,Software Engineer,2.67,Software Engineer,3.67,User Experience,2.08,User Experience,1.33,User Experience,2.0,User Experience,3.58,User Experience,4.83,,,,
380,Research Scientist,1.42,Medical-related,2.75,Medical-related,1.5,Marketing,1.08,Project Manager,2.08,Director/Manager,3.83,Director/Manager,1.67,Founder/Owner,1.0,Founder/Owner,1.42,Tech Director,3.0
381,Software Engineer Intern,1.0,Analyst,9.0,Software Engineer,1.08,Software Engineer,1.08,Software Engineer,8.67,Director/Manager,3.58,Director/Manager,2.5,,,,,,
382,Director/Manager,8.5,Director/Manager,1.58,Vice President,1.0,Director/Manager,3.5,Vice President,4.42,Vice President,2.0,,,,,,,,
383,Software Engineer,1.0,Software Engineer,1.0,Project Manager,9.17,President,7.83,Vice President,6.0,,,,,,,,,,
384,Intern,1.42,Associate,3.75,Director/Manager,13.0,Director/Manager,7.0,,,,,,,,,,,,
385,Analyst,3.0,Director/Manager,3.0,Consultant/Advisor,6.0,Marketing,3.0,Founder/Owner,9.0,Director/Manager,6.0,Associate,10.25,,,,,,
386,Web Developer,4.0,Founder/Owner,18.08,Software Engineer,7.83,,,,,,,,,,,,,,
387,Software Engineer,3.83,Software Engineer,3.92,Analyst,2.5,Tech Director,3.0,Consultant/Advisor,3.67,Technical Staff,4.25,,,,,,,,
388,Software Engineer Intern,1.0,Software Engineer,5.0,Software Engineer,3.0,Software Engineer,1.0,Software Engineer,10.0,,,,,,,,,,
389,Director/Manager,15.67,,,,,,,,,,,,,,,,,,
390,Software Engineer,1.5,Consultant/Advisor,2.0,Software Engineer,6.67,Software Engineer,10.25,,,,,,,,,,,,
391,Software Engineer,2.0,Software Engineer,9.58,Research Scientist,5.0,Software Engineer,5.17,,,,,,,,,,,,
392,Project Manager,3.0,Fellow,1.67,Teacher,11.58,,,,,,,,,,,,,,
393,Teacher,16.0,Teacher,15.0,CTO,10.58,,,,,,,,,,,,,,
394,Account Management,1.0,Intern,1.0,Director/Manager,4.5,Director/Manager,1.0,Director/Manager,2.33,Director/Manager,1.75,Vice President,4.0,Vice President,1.83,Vice President,11.0,Vice President,2.25
395,Director/Manager,1.5,Software Engineer,9.0,Software Engineer,10.67,Software Engineer,5.75,,,,,,,,,,,,
396,Software Engineer,1.0,Consultant/Advisor,11.0,Consultant/Advisor,3.25,Software Engineer,3.08,Software Engineer,4.67,Officer,4.25,Tech Director,6.0,,,,,,
397,Analyst,2.33,Analyst,4.5,Analyst,4.5,Director/Manager,5.33,,,,,,,,,,,,
398,Software Engineer,3.58,Project Manager,2.67,Project Manager,3.33,Project Manager,1.33,Director/Manager,5.08,Project Manager,2.17,,,,,,,,
399,Software Engineer,8.92,Director/Manager,1.92,Software Engineer,11.0,Tech Director,2.0,Tech Director,2.58,,,,,,,,,,
400,Software Engineer,1.17,Software Engineer,6.83,Project Manager,3.33,Software Engineer,4.25,Software Engineer,2.08,,,,,,,,,,
401,Research Scientist,3.08,Graduate Student,5.83,Research Scientist,3.58,Research Scientist,6.17,Director/Manager,3.75,,,,,,,,,,
402,Consultant/Advisor,1.83,Software Engineer,6.0,Consultant/Advisor,6.92,,,,,,,,,,,,,,
